 , , ,Sprite/MapTest/Map10.txt ,x : 3 y : 5
MMMMMMMMMMMMMMMMMMMMMMMMMMMMMM          MMMMMMMMMMMMMMMMMMMMMMMMMMMMMM
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM          MMMMMMMMMMMMMMMMMMMMMMMMMMMMM
