Sprite/MapTest/Map5.txt , ,Sprite/MapTest/Map0.txt ,Sprite/MapTest/Map3.txt ,x : 0 y : 1
MMMMMMMMMMMMMMMMMMMMMMMMMMMMMM          MMMMMMMMMMMMMMMMMMMMMMMMMMMMMM
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
M                                                                    M
MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM          MMMMMMMMMMMMMMMMMMMMMMMMMMMMM
